,Small Component,Big Component,Small2 Component,Big2 Component,Score
2484,consensus independent component 520_Normal,consensus independent component 1253_big,consensus independent component 81_Leukemia,consensus independent component 3657_big,0.375751755493825
2880,consensus independent component 68_Gastric cancer,consensus independent component 464_big,consensus independent component 57_Lung cancer,consensus independent component 3506_big,0.36925924045767716
3453,consensus independent component 98_Gastric cancer,consensus independent component 701_big,consensus independent component 160_Colorectal cancer,consensus independent component 947_big,0.36553809354668587
1584,consensus independent component 269_Normal,consensus independent component 3256_big,consensus independent component 278_Breast cancer,consensus independent component 2887_big,0.3608820478730145
1628,consensus independent component 278_Breast cancer,consensus independent component 2887_big,consensus independent component 269_Normal,consensus independent component 3256_big,0.35214671003588516
799,consensus independent component 153_Ovarian cancer,consensus independent component 3441_big,consensus independent component 95_Renal cancer,consensus independent component 3630_big,0.35104080621982564
194,consensus independent component 111_Renal cancer,consensus independent component 2505_big,consensus independent component 52_HNSCC,consensus independent component 3474_big,0.3483420480684782
3153,consensus independent component 81_Leukemia,consensus independent component 3657_big,consensus independent component 520_Normal,consensus independent component 1253_big,0.3481854714586712
1790,consensus independent component 308_Breast cancer,consensus independent component 2116_big,consensus independent component 60_Normal,consensus independent component 44_big,0.3479216645498878
3338,consensus independent component 91_Brain cancer,consensus independent component 449_big,consensus independent component 29_Leukemia,consensus independent component 76_big,0.32296047271095996
1477,consensus independent component 245_Sarcoma,consensus independent component 122_big,consensus independent component 10_Renal cancer,consensus independent component 326_big,0.3075301556547579
884,consensus independent component 160_Colorectal cancer,consensus independent component 947_big,consensus independent component 98_Gastric cancer,consensus independent component 701_big,0.3073703327078239
1064,consensus independent component 179_HCC,consensus independent component 170_big,consensus independent component 159_Lymphoma,consensus independent component 3587_big,0.3032813899480511
140,consensus independent component 109_Gastric cancer,consensus independent component 462_big,consensus independent component 39_Lymphoma,consensus independent component 462_big,0.30040570256887517
1698,consensus independent component 28_Renal cancer,consensus independent component 3378_big,consensus independent component 38_Prostate cancer,consensus independent component 3378_big,0.2995866319344086
1549,consensus independent component 25_Multiple myeloma,consensus independent component 172_big,consensus independent component 51_Brain cancer,consensus independent component 172_big,0.29309053200259977
1060,consensus independent component 178_Sarcoma,consensus independent component 92_big,consensus independent component 113_Renal cancer,consensus independent component 92_big,0.2927617259663313
3489,consensus independent component 9_Lung cancer,consensus independent component 462_big,consensus independent component 39_Lymphoma,consensus independent component 462_big,0.28748113720393936
232,consensus independent component 114_Melanoma,consensus independent component 172_big,consensus independent component 51_Brain cancer,consensus independent component 172_big,0.2870538124031103
2720,consensus independent component 5_Myelodysplastic syndrome,consensus independent component 1829_big,consensus independent component 53_Leukemia,consensus independent component 1231_big,0.28619966701519395
178,consensus independent component 110_Normal,consensus independent component 464_big,consensus independent component 70_Colorectal cancer,consensus independent component 1793_big,0.2844767202586448
2407,consensus independent component 49_Prostate cancer,consensus independent component 1436_big,consensus independent component 58_HNSCC,consensus independent component 403_big,0.2770849685025515
